ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Residence,,Wealth quintile,,Source,
MLI,Mali,SSA,WCA,Low income (L),5%,3%,13%,0%,21%,Multiple Indicator Cluster Survey,2015
MRT,Mauritania,SSA,WCA,Lower middle income (LM),3%,1%,6%,0%,11%,Multiple Indicator Cluster Survey,2015
MEX,Mexico,LAC,LAC,Upper middle income (UM),37%,10%,47%,,,ENSANUT,2018
MNG,Mongolia,EAP,EAP,Lower middle income (LM),37%,13%,50%,2%,94%,Multiple Indicator Cluster Survey,2018
MNE,Montenegro,ECA,EECA,Upper middle income (UM),80%,71%,84%,43%,100%,Multiple Indicator Cluster Survey,2018-19
MAR,Morocco,MENA,MENA,Lower middle income (LM),16%,11%,20%,,,Morocco Household and Youth Survey 2010,2010
NAM,Namibia,SSA,ESA,Upper middle income (UM),6%,1%,14%,0%,32%,Demographic and Health Survey,2013
NPL,Nepal,SA,SA,Low income (L),46%,31%,54%,15%,85%,Multiple Indicator Cluster Survey,2076
NIC,Nicaragua,LAC,LAC,Lower middle income (LM),4%,,,,,Nicaragua National Demographic and Health Survey 2011-2012,2011-12
NER,Niger,SSA,WCA,Low income (L),2%,,,,,"National Survey on Household Living Conditions and Agriculture 2014, Wave 2 Panel Data",2014-15
NGA,Nigeria,SSA,WCA,Lower middle income (LM),3%,,,,,"General Household Survey, Panel 2018-2019, Wave 4",2018-2019
PAK,Pakistan,SA,SA,Lower middle income (LM),8%,4%,18%,0%,45%,Demographic and Health Survey,2017
PAN,Panama,LAC,LAC,High income (H),27%,8%,40%,2%,95%,Multiple Indicator Cluster Survey,2013
PER,Peru,LAC,LAC,Upper middle income (UM),25%,1%,33%,,,ENDES,2019
RUS,Russian Federation,ECA,EECA,Upper middle income (UM),88%,82%,90%,88%,,"Russia Longitudinal Monitoring Survey, 2018",2018
LCA,Saint Lucia,LAC,LAC,Upper middle income (UM),44%,44%,47%,12%,,Multiple Indicator Cluster Survey,2012
STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),44%,37%,47%,18%,75%,Multiple Indicator Cluster Survey,2019
SEN,Senegal,SSA,WCA,Lower middle income (LM),5%,2%,9%,1%,20%,Demographic and Health Survey,2017
SRB,Serbia,ECA,EECA,Upper middle income (UM),95%,94%,96%,71%,100%,Multiple Indicator Cluster Survey,2019
SLE,Sierra Leone,SSA,WCA,Low income (L),12%,3%,24%,0%,38%,Multiple Indicator Cluster Survey,2017
SOM,Somalia,SSA,ESA,Low income (L),12%,,,,,Somalia High Frequency Survey,2017-18
ZAF,South Africa,SSA,ESA,Upper middle income (UM),18%,,,,,South Africa Living Conditions Survey 2014-15,2014-15
SSD,South Sudan,SSA,ESA,Low income (L),0%,0%,1%,0%,2%,Multiple Indicator Cluster Survey,2010
LKA,Sri Lanka,SA,SA,Upper middle income (UM),67%,64%,85%,70%,99%,STEP Skills Measurement Household Survey 2012 (Wave 1),2012
SDN,Sudan,SSA,ESA,Lower middle income (LM),3%,1%,8%,0%,17%,Multiple Indicator Cluster Survey,2014
SUR,Suriname,LAC,LAC,Upper middle income (UM),49%,35%,56%,21%,94%,Multiple Indicator Cluster Survey,2018
TJK,Tajikistan,ECA,EECA,Low income (L),23%,19%,37%,5%,44%,Demographic and Health Survey,2017
THA,Thailand,EAP,EAP,Upper middle income (UM),68%,65%,75%,42%,95%,Multiple Indicator Cluster Survey,2562
MKD,North Macedonia,ECA,EECA,Upper middle income (UM),91%,88%,93%,67%,100%,Multiple Indicator Cluster Survey,2018-19
TGO,Togo,SSA,WCA,Low income (L),20%,6%,47%,0%,78%,Multiple Indicator Cluster Survey,2017
TON,Tonga,EAP,EAP,Upper middle income (UM),90%,89%,94%,82%,94%,Multiple Indicator Cluster Survey,2019
TTO,Trinidad and Tobago,LAC,LAC,High income (H),42%,32%,51%,2%,97%,Multiple Indicator Cluster Survey,2011
TUN,Tunisia,MENA,MENA,Lower middle income (LM),36%,20%,44%,11%,82%,Multiple Indicator Cluster Survey,2018
TUR,Turkey,ECA,EECA,Upper middle income (UM),33%,14%,39%,2%,91%,Demographic and Health Survey,2013
TKM,Turkmenistan,ECA,EECA,Upper middle income (UM),44%,35%,56%,32%,74%,Multiple Indicator Cluster Survey,2019
UGA,Uganda,SSA,ESA,Low income (L),0%,0%,1%,0%,1%,LSMS,2015
UKR,Ukraine,ECA,EECA,Lower middle income (LM),73%,,73%,,,STEP Skills Measurement Household Survey 2013 (Wave 1),2013
GBR,United Kingdom,ECA,WE,High income (H),99%,,,,,"UK Data Archive Information for the Study 8298. Statistical Bulletin: Internet Access – Households and Individuals, 2016.",2016
URY,Uruguay,LAC,LAC,High income (H),63%,53%,64%,37%,,Multiple Indicator Cluster Survey,2012-99
UZB,Uzbekistan,ECA,EECA,Lower middle income (LM),19%,16%,26%,0%,69%,UNICEF Nutrition Survey 2017,2017
VNM,Viet Nam,EAP,EAP,Lower middle income (LM),58%,,58%,,,STEP Skills Measurement Household Survey 2012 (Wave 1),2012
ZMB,Zambia,SSA,ESA,Lower middle income (LM),6%,2%,12%,0%,28%,Demographic and Health Survey,2018-19
ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),25%,16%,48%,4%,60%,Multiple Indicator Cluster Survey,2018-19
